                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95584,                 1.8382,                 1.2822,                0.90035,                0.31343,                0.66901,                 0.4735,                  1.029,                 2.1683,                 1.3335,              0.0005467,              0.0005467,              0.0005467
                      2,                0.95941,                 1.2375,                  1.278,                0.61267,                0.59568,                0.62102,                0.39038,                 1.2657,                 1.8052,                 1.4999,              0.0010915,              0.0010915,              0.0010915
                      3,                0.99262,                 1.1505,                 1.2908,                0.75391,                0.58338,                0.60982,                0.37476,                 1.4979,                 1.6213,                 1.9208,              0.0016252,              0.0016252,              0.0016252
                      4,                0.97275,                 1.0526,                 1.2726,                0.77623,                0.66231,                0.69397,                0.46306,                 1.2464,                 1.3144,                  1.614,              0.0016175,              0.0016175,              0.0016175
                      5,                0.96771,                 1.0262,                 1.2709,                0.69321,                0.65103,                0.64978,                0.40633,                 1.5226,                 1.4872,                 1.9218,               0.001601,               0.001601,               0.001601
                      6,                0.92703,                0.95051,                 1.2573,                0.82466,                 0.6741,                0.73896,                0.50234,                 1.1363,                 1.2708,                 1.4424,              0.0015845,              0.0015845,              0.0015845
                      7,                0.91799,                0.92325,                 1.2449,                0.91726,                0.66513,                0.78662,                0.53911,                 1.1553,                 1.0336,                 1.4561,               0.001568,               0.001568,               0.001568
                      8,                 0.8869,                0.86328,                 1.2211,                0.84825,                 0.7266,                0.79175,                0.54617,                 1.0837,                 1.0273,                 1.3995,              0.0015515,              0.0015515,              0.0015515
                      9,                0.87055,                0.84383,                 1.2054,                0.88547,                0.67715,                0.80353,                0.55469,                 1.1158,                0.99643,                 1.4761,               0.001535,               0.001535,               0.001535
                     10,                0.85588,                0.82086,                 1.2086,                0.83973,                0.65434,                0.75578,                0.49809,                  1.226,                 1.1332,                 1.5983,              0.0015185,              0.0015185,              0.0015185
                     11,                0.83137,                0.78544,                 1.1812,                0.87057,                0.71708,                0.80292,                0.54711,                 1.1868,                0.97941,                 1.5363,               0.001502,               0.001502,               0.001502
                     12,                0.83038,                0.77347,                 1.1838,                0.86627,                  0.707,                0.78678,                 0.5273,                 1.1209,                 0.9927,                 1.4825,              0.0014855,              0.0014855,              0.0014855
                     13,                0.80674,                0.73218,                 1.1693,                0.86058,                0.71446,                0.81161,                0.57557,                 0.9974,                0.86583,                 1.3277,               0.001469,               0.001469,               0.001469
                     14,                0.80171,                0.72797,                  1.164,                  0.798,                0.76262,                0.81299,                  0.576,                 1.0216,                0.85973,                 1.3724,              0.0014525,              0.0014525,              0.0014525
                     15,                0.78584,                0.71272,                 1.1551,                0.79422,                0.71062,                0.74573,                0.52544,                  1.114,                 1.0325,                 1.4419,               0.001436,               0.001436,               0.001436
                     16,                 0.7686,                0.67927,                 1.1364,                0.81594,                0.78047,                0.82482,                0.60521,                0.92641,                0.83144,                 1.3054,              0.0014195,              0.0014195,              0.0014195
                     17,                 0.7339,                0.66657,                  1.114,                0.82496,                0.75057,                0.81692,                0.60947,                0.92618,                0.79261,                 1.2799,              0.0014029,              0.0014029,              0.0014029
                     18,                 0.7403,                0.65769,                 1.1263,                0.84898,                0.75995,                0.82988,                0.56936,                    1.1,                0.88595,                 1.4492,              0.0013864,              0.0013864,              0.0013864
                     19,                0.74247,                0.64336,                 1.1227,                0.85926,                 0.7589,                0.81789,                0.59124,                 1.0025,                0.80993,                 1.3728,              0.0013699,              0.0013699,              0.0013699
                     20,                0.73142,                0.63238,                 1.1031,                0.81911,                0.78038,                0.83344,                0.60685,                0.95738,                 0.7825,                 1.2963,              0.0013534,              0.0013534,              0.0013534
                     21,                0.70921,                0.62427,                 1.0962,                0.87222,                0.77781,                0.82235,                0.60636,                0.97244,                0.76373,                 1.3437,              0.0013369,              0.0013369,              0.0013369
                     22,                0.71061,                0.60196,                 1.0931,                0.82393,                0.74058,                0.79856,                0.58305,                 1.0257,                0.81618,                 1.4241,              0.0013204,              0.0013204,              0.0013204
